searchSteps,startWeight,endWeight,exponent,dynamicEnabled,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
3,0.6,1.2,3.0,true,original,1,true,1.00,1043,380,980,28,42578,2870
3,0.6,1.2,3.0,true,original,2,true,1.00,1369,291,1335,37,53417,2660
3,0.6,1.2,3.0,true,original,3,true,1.00,673,271,652,18,23760,2696
3,0.6,1.2,3.0,true,original,4,true,1.00,4236,458,4228,124,462988,3802
3,0.6,1.2,3.0,true,original,5,true,1.00,8511,480,8471,255,1016876,3899
3,0.6,1.2,3.0,true,original,6,true,1.00,1111,271,1107,31,89053,2342
3,0.6,1.2,3.0,true,original,7,true,1.00,5317,424,5298,160,667615,2010
3,0.6,1.2,3.0,true,original,8,true,1.00,203,311,194,6,11535,995
3,0.6,1.2,3.0,true,original,9,true,1.00,5171,384,5148,153,338838,1157
3,0.6,1.2,3.0,true,original,10,true,1.00,177,279,176,5,11561,1769
3,0.6,1.2,3.0,true,original,11,true,1.00,5501,382,5455,165,429784,1437
3,0.6,1.2,3.0,true,original,12,true,1.00,12716,546,12707,388,1065142,2489
3,0.6,1.2,3.0,true,original,13,true,1.00,4,306,3,1,202,45
3,0.6,1.2,3.0,true,original,14,true,1.00,128,339,124,4,8316,1296
3,0.6,1.2,3.0,true,original,15,true,1.00,22788,888,22749,693,1769107,2697
3,0.6,1.2,3.0,true,krys,1,true,1.00,11759,493,11738,370,1044722,2272
3,0.6,1.2,3.0,true,krys,2,true,1.00,5761,370,5743,173,436364,2239
3,0.6,1.2,3.0,true,krys,3,true,1.00,10598,476,10597,334,940743,2299
3,0.6,1.2,3.0,true,krys,4,true,1.00,8402,406,8400,266,686599,2305
3,0.6,1.2,3.0,true,krys,5,true,1.00,23,343,10,1,803,141
3,0.6,1.2,3.0,true,krys,6,true,1.00,7526,353,7525,228,634880,2652
3,0.6,1.2,3.0,true,krys,7,true,1.00,6558,368,6535,199,546479,2262
