searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,0.7,1.1,2.4,true,215,213,0.9907,6090.9721,6085.7256,423.4326,200277.6465,867.1395,0.9957
3,0.7,1.1,2.8,true,215,213,0.9907,5964.2140,5961.7442,416.6977,196873.0512,857.8698,0.9959
3,0.7,1.7,2.4,true,215,214,0.9953,7150.4093,7148.4977,411.5674,236524.3721,948.4930,0.9991
3,0.7,1.7,2.8,true,215,212,0.9860,7104.8372,7103.1395,416.2884,238402.1907,939.5209,0.9946
3,1.3,1.1,2.4,true,215,213,0.9907,2367.7070,2364.2744,467.3674,81415.4186,389.0279,0.9986
3,1.3,1.1,2.8,true,215,213,0.9907,2401.5209,2397.8000,469.3907,82031.6000,382.5488,0.9986
3,1.3,1.7,2.4,true,215,214,0.9953,2464.0698,2460.6558,463.8093,83308.0419,423.1953,0.9987
3,1.3,1.7,2.8,true,215,214,0.9953,2458.7256,2455.2977,463.0977,84480.8558,415.6698,0.9987
