searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,0.6,1.0,2.5,true,215,215,1.0000,4590.9535,4587.4512,399.2419,383419.3395,1958.2279,1.0000
3,0.6,1.2,2.5,true,215,213,0.9907,5389.6140,5388.1116,398.3814,446121.1907,2066.5395,0.9977
3,0.6,1.4,2.5,true,215,213,0.9907,5827.8791,5826.9023,393.1302,476529.5163,2108.6093,0.9973
3,0.8,1.0,2.5,true,215,215,1.0000,2793.5628,2791.9442,425.3256,226666.3581,1236.3767,1.0000
3,0.8,1.2,2.5,true,215,215,1.0000,3039.4000,3038.0279,422.4605,246582.4093,1343.2279,1.0000
3,0.8,1.4,2.5,true,215,215,1.0000,3207.5023,3206.0698,420.8558,259793.3302,1416.0047,1.0000
3,1.0,1.0,2.5,true,215,215,1.0000,1629.3953,1627.5860,448.8047,134846.5767,843.7767,1.0000
3,1.0,1.2,2.5,true,215,213,0.9907,1877.3953,1875.7721,447.6977,156176.5721,885.5721,0.9977
3,1.0,1.4,2.5,true,215,215,1.0000,1903.8930,1902.2744,446.4186,156760.8884,926.5209,1.0000
