searchSteps,startWeight,endWeight,exponent,dynamicEnabled,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
3,0.7,1.3,0.6,true,original,1,true,1.00,8144,391,8055,222,150994,1394
3,0.7,1.3,0.6,true,original,2,true,1.00,4465,333,4430,122,112043,1084
3,0.7,1.3,0.6,true,original,3,true,1.00,1826,275,1801,49,34110,466
3,0.7,1.3,0.6,true,original,4,true,1.00,8772,462,8733,259,412702,1564
3,0.7,1.3,0.6,true,original,5,true,1.00,9516,521,9467,284,470755,1382
3,0.7,1.3,0.6,true,original,6,true,1.00,3582,287,3561,107,176178,1381
3,0.7,1.3,0.6,true,original,7,true,1.00,8290,481,8288,251,437907,1382
3,0.7,1.3,0.6,true,original,8,true,1.00,3970,307,3961,120,219351,1087
3,0.7,1.3,0.6,true,original,9,false,0.61,8029,242,8025,242,290668,1262
3,0.7,1.3,0.6,true,original,10,true,1.00,1942,269,1919,58,60050,338
3,0.7,1.3,0.6,true,original,11,true,1.00,8326,438,8290,249,271603,886
3,0.7,1.3,0.6,true,original,12,true,1.00,14650,572,14642,444,505219,1169
3,0.7,1.3,0.6,true,original,13,true,1.00,1778,283,1776,54,62467,322
3,0.7,1.3,0.6,true,original,14,true,1.00,5971,359,5969,181,198139,1006
3,0.7,1.3,0.6,true,original,15,true,1.00,25688,909,25672,781,866858,1176
3,0.7,1.3,0.6,true,krys,1,true,1.00,12639,480,12621,390,436234,1027
3,0.7,1.3,0.6,true,krys,2,true,1.00,8013,354,8010,244,249867,928
3,0.7,1.3,0.6,true,krys,3,true,1.00,13181,520,13179,400,458161,1043
3,0.7,1.3,0.6,true,krys,4,true,1.00,12256,479,12241,370,398582,910
3,0.7,1.3,0.6,true,krys,5,true,1.00,3702,325,3700,115,124123,917
3,0.7,1.3,0.6,true,krys,6,true,1.00,8679,350,8677,263,281288,931
3,0.7,1.3,0.6,true,krys,7,true,1.00,8416,354,8408,255,291955,1072
3,0.7,1.3,0.6,true,krys,8,true,1.00,11384,462,11383,354,368541,956
3,0.7,1.3,0.6,true,krys,9,true,1.00,6200,357,6197,188,218123,793
3,0.7,1.3,0.6,true,krys,10,true,1.00,7747,358,7746,235,271831,1108
3,0.7,1.3,0.6,true,krys,11,true,1.00,9834,390,9833,298,328231,968
3,0.7,1.3,0.6,true,krys,12,true,1.00,12647,499,12637,382,441648,1168
3,0.7,1.3,0.6,true,krys,13,true,1.00,6751,356,6750,205,221654,1003
3,0.7,1.3,0.6,true,krys,14,true,1.00,8843,372,8841,268,291115,999
3,0.7,1.3,0.6,true,krys,15,true,1.00,5641,360,5639,171,198264,1075
3,0.7,1.3,0.6,true,krys,16,true,1.00,8025,387,8016,246,260293,854
3,0.7,1.3,0.6,true,krys,17,true,1.00,8827,415,8808,268,308644,1111
3,0.7,1.3,0.6,true,krys,18,true,1.00,5733,389,5732,174,193341,1014
3,0.7,1.3,0.6,true,krys,19,true,1.00,5939,390,5937,180,202290,1007
3,0.7,1.3,0.6,true,krys,20,true,1.00,8043,412,8042,244,279129,927
3,0.7,1.3,0.6,true,krys,21,true,1.00,1148,343,1146,35,37067,403
3,0.7,1.3,0.6,true,krys,22,true,1.00,4286,335,4284,130,148239,718
3,0.7,1.3,0.6,true,krys,23,true,1.00,11322,507,11320,351,381968,1015
