searchSteps,startWeight,endWeight,exponent,dynamicEnabled,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
3,1.1,0.5,0.6,true,original,1,true,1.00,4597,383,4509,133,83318,727
3,1.1,0.5,0.6,true,original,2,true,1.00,3172,332,3099,84,17417,488
3,1.1,0.5,0.6,true,original,3,true,1.00,1000,252,998,29,8195,285
3,1.1,0.5,0.6,true,original,4,true,1.00,6271,509,6243,183,261395,1140
3,1.1,0.5,0.6,true,original,5,true,1.00,7857,534,7821,221,234053,995
3,1.1,0.5,0.6,true,original,6,true,1.00,1442,291,1404,41,40357,1427
3,1.1,0.5,0.6,true,original,7,true,1.00,4920,480,4911,147,192221,537
3,1.1,0.5,0.6,true,original,8,true,1.00,83,324,59,2,1102,324
3,1.1,0.5,0.6,true,original,9,true,1.00,2331,396,2298,61,21125,428
3,1.1,0.5,0.6,true,original,10,true,1.00,241,262,217,6,4034,518
3,1.1,0.5,0.6,true,original,11,true,1.00,2104,440,2099,64,59174,494
3,1.1,0.5,0.6,true,original,12,true,1.00,12156,560,12152,369,376390,640
3,1.1,0.5,0.6,true,original,13,true,1.00,12,300,9,1,142,9
3,1.1,0.5,0.6,true,original,14,true,1.00,48,395,18,1,455,58
3,1.1,0.5,0.6,true,original,15,true,1.00,15909,815,15903,482,454766,924
3,1.1,0.5,0.6,true,krys,1,true,1.00,12294,571,12290,375,394717,1083
3,1.1,0.5,0.6,true,krys,2,true,1.00,8399,424,8397,254,246276,798
3,1.1,0.5,0.6,true,krys,3,true,1.00,10062,504,10058,314,327804,1010
3,1.1,0.5,0.6,true,krys,4,true,1.00,13049,528,13013,399,389911,802
3,1.1,0.5,0.6,true,krys,5,true,1.00,18,336,14,1,402,58
3,1.1,0.5,0.6,true,krys,6,true,1.00,9109,393,9107,276,279381,700
3,1.1,0.5,0.6,true,krys,7,true,1.00,5834,389,5832,177,179135,763
3,1.1,0.5,0.6,true,krys,8,true,1.00,12383,526,12380,383,371992,868
3,1.1,0.5,0.6,true,krys,9,true,1.00,2032,384,2021,61,62986,527
3,1.1,0.5,0.6,true,krys,10,true,1.00,4698,424,4695,139,139813,755
3,1.1,0.5,0.6,true,krys,11,true,1.00,8417,415,8408,255,242948,680
3,1.1,0.5,0.6,true,krys,12,true,1.00,7630,389,7629,231,236320,1121
3,1.1,0.5,0.6,true,krys,13,true,1.00,7228,385,7226,219,225429,844
3,1.1,0.5,0.6,true,krys,14,true,1.00,7297,388,7295,221,201542,888
3,1.1,0.5,0.6,true,krys,15,true,1.00,6274,406,6272,191,211859,781
3,1.1,0.5,0.6,true,krys,16,true,1.00,9858,443,9833,307,221477,769
3,1.1,0.5,0.6,true,krys,17,true,1.00,9795,464,9793,297,303748,717
3,1.1,0.5,0.6,true,krys,18,true,1.00,1842,378,1838,56,57020,607
3,1.1,0.5,0.6,true,krys,19,true,1.00,5974,385,5972,181,190817,1074
3,1.1,0.5,0.6,true,krys,20,true,1.00,4959,437,4956,151,167836,784
3,1.1,0.5,0.6,true,krys,21,true,1.00,69,367,65,2,2020,623
3,1.1,0.5,0.6,true,krys,22,true,1.00,17,377,13,1,361,60
3,1.1,0.5,0.6,true,krys,23,true,1.00,10395,508,10393,315,329286,953
3,1.1,0.5,0.6,true,krys,24,true,1.00,8432,448,8430,256,256447,789
3,1.1,0.5,0.6,true,krys,25,true,1.00,6073,421,6071,184,194404,800
3,1.1,0.5,0.6,true,krys,26,true,1.00,25,370,21,1,670,203
3,1.1,0.5,0.6,true,krys,27,true,1.00,8414,444,8411,255,274453,1152
3,1.1,0.5,0.6,true,krys,28,true,1.00,6232,477,6227,188,195108,871
