searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,1.1,0.5,0.6,true,215,214,0.9953,3984.4512,3978.1628,453.5721,124686.2419,521.0977,0.9987
3,1.1,0.5,1.4,true,215,214,0.9953,3107.5488,3103.7023,459.8419,100494.8698,445.2372,0.9987
3,1.1,0.7,0.6,true,215,214,0.9953,3594.6465,3591.1070,456.7070,115376.0326,489.4884,0.9987
3,1.1,0.7,1.4,true,215,213,0.9907,3110.8977,3106.8419,458.1070,98811.2698,432.8791,0.9986
3,1.3,0.5,0.6,true,215,215,1.0000,3476.2977,3472.5070,463.9256,110373.1953,452.6651,1.0000
3,1.3,0.5,1.4,true,215,215,1.0000,2666.8791,2662.6279,471.6047,85224.0930,380.7442,1.0000
3,1.3,0.7,0.6,true,215,214,0.9953,3009.9023,3006.2093,463.1349,96070.1907,401.5442,0.9987
3,1.3,0.7,1.4,true,215,214,0.9953,2575.6977,2571.7070,470.4233,83448.6698,354.1814,0.9987
