searchSteps,startWeight,endWeight,exponent,dynamicEnabled,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
3,1.0,0.5,2.5,true,original,1,true,1.00,544,375,496,14,5213,464
3,1.0,0.5,2.5,true,original,2,true,1.00,1075,349,1071,30,13379,285
3,1.0,0.5,2.5,true,original,3,true,1.00,12,257,5,1,335,129
3,1.0,0.5,2.5,true,original,4,true,1.00,1168,450,1128,31,73059,1765
3,1.0,0.5,2.5,true,original,5,true,1.00,1682,500,1659,47,47867,1118
3,1.0,0.5,2.5,true,original,6,true,1.00,2340,281,2322,70,281799,2278
3,1.0,0.5,2.5,true,original,7,true,1.00,104,447,85,3,5676,1017
3,1.0,0.5,2.5,true,original,8,true,1.00,15,323,4,1,437,166
3,1.0,0.5,2.5,true,original,9,true,1.00,362,420,344,10,6025,256
3,1.0,0.5,2.5,true,original,10,true,1.00,34,275,31,1,455,224
3,1.0,0.5,2.5,true,original,11,true,1.00,173,459,161,5,3381,231
3,1.0,0.5,2.5,true,original,12,true,1.00,1819,549,1798,53,130024,1105
3,1.0,0.5,2.5,true,original,13,true,1.00,4,300,2,1,133,9
3,1.0,0.5,2.5,true,original,14,true,1.00,17,343,5,1,310,49
3,1.0,0.5,2.5,true,original,15,true,1.00,4419,855,4387,132,304586,831
3,1.0,0.5,2.5,true,krys,1,true,1.00,10767,583,10757,332,884923,2158
3,1.0,0.5,2.5,true,krys,2,true,1.00,74,403,54,2,2447,268
3,1.0,0.5,2.5,true,krys,3,true,1.00,7068,480,7067,225,574954,2014
3,1.0,0.5,2.5,true,krys,4,true,1.00,8118,475,8117,247,647473,2464
3,1.0,0.5,2.5,true,krys,5,true,1.00,14,336,12,1,349,87
3,1.0,0.5,2.5,true,krys,6,true,1.00,117,404,96,3,6753,773
3,1.0,0.5,2.5,true,krys,7,true,1.00,32,384,23,1,1091,326
3,1.0,0.5,2.5,true,krys,8,true,1.00,3520,399,3503,106,263958,1588
3,1.0,0.5,2.5,true,krys,9,true,1.00,21,386,19,1,572,206
3,1.0,0.5,2.5,true,krys,10,true,1.00,44,422,30,1,1849,1217
3,1.0,0.5,2.5,true,krys,11,true,1.00,590,379,588,18,42783,629
3,1.0,0.5,2.5,true,krys,12,true,1.00,8846,433,8846,268,719810,2442
3,1.0,0.5,2.5,true,krys,13,true,1.00,31,395,29,1,1968,1157
3,1.0,0.5,2.5,true,krys,14,true,1.00,57,358,56,2,4080,1092
