searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,1.0,0.5,2.5,true,215,215,1.0000,1605.3023,1601.3674,452.7767,132139.3302,772.6791,1.0000
3,1.0,0.6,2.5,true,215,215,1.0000,1586.4186,1584.1628,452.6512,132513.3209,807.8419,1.0000
3,1.0,0.8,2.5,true,215,215,1.0000,1654.4326,1652.5023,449.7953,137897.7442,820.7302,1.0000
3,1.2,0.5,2.5,true,215,215,1.0000,1233.0977,1231.2279,468.9349,105454.3395,615.2884,1.0000
3,1.2,0.6,2.5,true,215,215,1.0000,1258.5302,1256.5488,467.2279,107886.8372,628.4977,1.0000
3,1.2,0.8,2.5,true,215,215,1.0000,1277.1674,1275.1860,465.2512,109430.0419,631.4977,1.0000
3,1.4,0.5,2.5,true,215,215,1.0000,1131.5814,1129.5581,478.0372,98733.5953,571.1535,1.0000
3,1.4,0.6,2.5,true,215,215,1.0000,1123.2140,1121.2047,478.5581,98371.5674,556.1767,1.0000
3,1.4,0.8,2.5,true,215,214,0.9953,1120.7395,1118.3349,477.1953,98570.7488,535.1674,0.9999
