searchSteps,startWeight,endWeight,exponent,dynamicEnabled,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
3,1.1,0.7,2.4,true,original,1,true,1.00,591,410,527,16,5337,148
3,1.1,0.7,2.4,true,original,2,true,1.00,388,329,374,10,3538,310
3,1.1,0.7,2.4,true,original,3,true,1.00,7,269,4,1,270,69
3,1.1,0.7,2.4,true,original,4,true,1.00,1230,467,1193,33,60934,1232
3,1.1,0.7,2.4,true,original,5,true,1.00,1617,536,1601,44,43823,918
3,1.1,0.7,2.4,true,original,6,true,1.00,2343,281,2337,70,284442,2806
3,1.1,0.7,2.4,true,original,7,true,1.00,69,462,65,2,3943,919
3,1.1,0.7,2.4,true,original,8,true,1.00,8,323,5,1,436,161
3,1.1,0.7,2.4,true,original,9,true,1.00,251,439,246,7,4596,208
3,1.1,0.7,2.4,true,original,10,true,1.00,5,275,2,1,311,85
3,1.1,0.7,2.4,true,original,11,true,1.00,25,464,12,1,997,164
3,1.1,0.7,2.4,true,original,12,true,1.00,451,598,432,12,30372,959
3,1.1,0.7,2.4,true,original,13,true,1.00,2,299,1,1,128,9
3,1.1,0.7,2.4,true,original,14,true,1.00,45,352,22,1,345,51
3,1.1,0.7,2.4,true,original,15,true,1.00,1883,849,1831,54,110206,698
3,1.1,0.7,2.4,true,krys,1,true,1.00,9566,574,9547,292,791867,2301
3,1.1,0.7,2.4,true,krys,2,true,1.00,110,465,94,3,5731,552
3,1.1,0.7,2.4,true,krys,3,true,1.00,8336,514,8333,259,689176,1928
3,1.1,0.7,2.4,true,krys,4,true,1.00,9023,522,9021,273,717664,1845
3,1.1,0.7,2.4,true,krys,5,true,1.00,9,349,7,1,323,78
3,1.1,0.7,2.4,true,krys,6,true,1.00,98,425,95,3,5059,450
3,1.1,0.7,2.4,true,krys,7,true,1.00,28,398,12,1,880,341
3,1.1,0.7,2.4,true,krys,8,true,1.00,4533,457,4530,137,339882,1380
3,1.1,0.7,2.4,true,krys,9,true,1.00,9,410,6,1,439,138
3,1.1,0.7,2.4,true,krys,10,true,1.00,30,427,29,1,2148,1716
3,1.1,0.7,2.4,true,krys,11,true,1.00,58,390,56,2,4170,479
