node depth weight,time to finish weight,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.2,0.2,99.01477832512316,0.997911330049261,603.2236453201971,373.16748768472905,601.3211822660098,15.245320197044334,61490.75665024631,440.9320197044335
0.2,0.4,99.11330049261083,0.9987192118226601,605.5733990147784,373.6216748768473,603.9428571428572,14.973399014778325,60848.95073891625,448.66995073891627
0.2,0.6,99.11330049261083,0.9987093596059113,605.4945812807882,373.68275862068964,603.8995073891625,15.126108374384236,61089.04137931034,446.0423645320197
0.2,0.8,99.11330049261083,0.9987192118226601,620.3487684729064,373.6502463054187,618.8068965517241,15.229556650246305,62447.791133004925,445.8847290640394
0.2,1.0,99.11330049261083,0.9987093596059113,615.1241379310345,373.62364532019706,613.7133004926109,14.892610837438424,63127.15960591133,461.05615763546797
0.2,1.2,99.11330049261083,0.9987192118226601,634.4699507389163,373.528078817734,632.4857142857143,15.363546798029557,64897.14975369458,451.1665024630542
0.2,1.4,99.11330049261083,0.9987093596059113,621.3586206896551,373.53497536945815,619.8788177339901,15.056157635467981,63434.69064039409,456.7733990147783
0.2,1.6,99.21182266009852,0.9987290640394089,618.7783251231527,373.6098522167488,617.1635467980295,15.47192118226601,61645.33990147783,452.58029556650246
0.2,1.8,98.81773399014779,0.9965714285714286,710.9911330049262,373.2492610837438,709.2847290640394,19.395073891625614,68854.56847290641,411.8551724137931
0.2,2.0,99.01477832512316,0.9982758620689656,669.8906403940887,373.75566502463056,667.976354679803,16.917241379310344,66827.29261083744,434.2837438423645
0.4,0.2,99.01477832512316,0.9974876847290641,607.0699507389163,373.1152709359606,605.1793103448276,16.014778325123153,59103.45812807882,428.53990147783253
0.4,0.4,98.7192118226601,0.996551724137931,691.071921182266,373.1911330049261,689.0709359605911,18.247290640394088,67528.89852216748,416.3290640394089
0.4,0.6,99.21182266009852,0.9987290640394089,662.6699507389162,373.8197044334975,660.8275862068965,16.560591133004927,64023.38226600985,433.6532019704434
0.4,0.8,99.11330049261083,0.9987093596059113,676.7822660098523,373.85714285714283,674.4039408866995,16.18128078817734,63661.68866995074,440.2088669950739
0.4,1.0,99.11330049261083,0.9987093596059113,627.9911330049262,373.6354679802956,626.2128078817734,15.212807881773399,63850.31921182266,460.24433497536944
0.4,1.2,99.11330049261083,0.9987192118226601,635.7931034482758,373.61182266009854,634.1477832512315,15.357635467980296,64490.82660098522,455.85812807881774
0.4,1.4,99.11330049261083,0.9987192118226601,622.6364532019704,373.44827586206895,621.0443349753695,15.063054187192119,63172.377339901475,452.7073891625616
0.4,1.6,99.11330049261083,0.9987192118226601,623.7310344827587,373.47389162561575,622.2630541871921,15.013793103448275,63807.75467980296,453.3467980295566
0.4,1.8,99.11330049261083,0.9987192118226601,627.0118226600986,373.54285714285714,625.567487684729,15.108374384236454,64099.1921182266,453.75172413793103
0.4,2.0,99.11330049261083,0.9987192118226601,623.4591133004926,373.5743842364532,621.904433497537,15.063054187192119,63695.99014778325,449.77733990147783
0.6,0.2,99.11330049261083,0.9987192118226601,632.4206896551724,373.4088669950739,630.943842364532,15.337931034482759,64699.185221674874,451.8709359605911
0.6,0.4,99.11330049261083,0.9987192118226601,624.5665024630542,373.52512315270934,622.7753694581281,14.970443349753694,63707.233497536945,455.22463054187193
0.6,0.6,99.11330049261083,0.9987093596059113,629.1073891625616,373.5743842364532,627.4187192118227,15.183251231527093,63952.15172413793,457.3379310344828
0.6,0.8,99.01477832512316,0.997911330049261,621.0128078817734,373.06699507389163,618.9133004926108,15.22167487684729,59399.36256157635,442.00098522167485
0.6,1.0,99.11330049261083,0.9987093596059113,647.2679802955665,373.7231527093596,645.215763546798,15.904433497536946,61080.80591133005,426.01576354679804
0.6,1.2,99.11330049261083,0.9987093596059113,664.1211822660099,373.7911330049261,662.3694581280788,16.736945812807882,65006.73497536946,427.22266009852217
0.6,1.4,98.81773399014779,0.9971231527093597,695.6325123152709,373.2748768472906,693.664039408867,18.996059113300493,66654.92807881773,410.85320197044337
0.6,1.6,98.0295566502463,0.9928866995073893,775.407881773399,371.69753694581283,773.0610837438423,21.446305418719213,65727.40295566502,390.40591133004926
0.6,1.8,97.33990147783251,0.9906502463054188,762.6975369458128,370.74384236453204,760.2354679802955,21.286699507389162,62930.42660098522,376.928078817734
0.6,2.0,97.4384236453202,0.9904137931034482,771.3527093596059,370.9960591133005,768.8275862068965,21.50344827586207,63691.23743842365,381.5044334975369
0.8,0.2,97.4384236453202,0.9906305418719212,788.9467980295567,371.7477832512315,786.4,22.064039408866996,64350.54778325123,382.89162561576353
0.8,0.4,97.33990147783251,0.9905812807881774,760.1783251231527,370.62857142857143,757.8837438423645,21.2256157635468,66628.31625615763,393.4729064039409
0.8,0.6,99.01477832512316,0.9976650246305419,676.4610837438423,373.4955665024631,674.9369458128078,18.419704433497536,69783.62955665025,417.88965517241377
0.8,0.8,98.81773399014779,0.9972019704433497,674.3566502463054,373.35073891625615,672.8512315270935,18.44039408866995,70193.38325123153,420.615763546798
0.8,1.0,99.01477832512316,0.9974384236453202,670.7990147783252,373.4246305418719,669.2699507389162,18.324137931034482,69897.55862068966,423.74384236453204
0.8,1.2,99.01477832512316,0.9974876847290641,673.5448275862069,373.32610837438426,672.0197044334975,18.32216748768473,69941.01871921182,423.89852216748767
0.8,1.4,99.01477832512316,0.9974876847290641,665.6492610837438,373.30541871921184,664.1773399014778,18.161576354679802,69005.75862068965,419.664039408867
