searchSteps,startWeight,endWeight,exponent,dynamicEnabled,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
3,1.2,0.8,2.0,true,original,1,true,1.00,247,409,197,6,1409,73
3,1.2,0.8,2.0,true,original,2,true,1.00,397,372,384,11,3673,115
3,1.2,0.8,2.0,true,original,3,true,1.00,12,269,8,1,213,47
3,1.2,0.8,2.0,true,original,4,true,1.00,953,466,938,26,50164,1088
3,1.2,0.8,2.0,true,original,5,true,1.00,1139,514,1136,31,23785,750
3,1.2,0.8,2.0,true,original,6,true,1.00,2458,287,2440,73,307268,2791
3,1.2,0.8,2.0,true,original,7,true,1.00,34,472,26,1,1570,365
3,1.2,0.8,2.0,true,original,8,true,1.00,7,323,4,1,416,121
3,1.2,0.8,2.0,true,original,9,true,1.00,316,414,307,9,6244,230
3,1.2,0.8,2.0,true,original,10,true,1.00,17,275,15,1,259,70
3,1.2,0.8,2.0,true,original,11,true,1.00,22,463,20,1,739,125
3,1.2,0.8,2.0,true,original,12,true,1.00,629,653,608,18,35244,802
3,1.2,0.8,2.0,true,original,13,true,1.00,3,299,2,1,128,9
3,1.2,0.8,2.0,true,original,14,true,1.00,23,352,17,1,363,54
3,1.2,0.8,2.0,true,original,15,true,1.00,340,843,308,9,13204,456
3,1.2,0.8,2.0,true,krys,1,true,1.00,9436,575,9400,285,784480,2214
3,1.2,0.8,2.0,true,krys,2,true,1.00,132,462,106,3,4519,628
3,1.2,0.8,2.0,true,krys,3,true,1.00,9457,484,9455,294,774815,2316
3,1.2,0.8,2.0,true,krys,4,true,1.00,5759,497,5757,174,441456,1521
3,1.2,0.8,2.0,true,krys,5,true,1.00,18,349,17,1,288,59
3,1.2,0.8,2.0,true,krys,6,true,1.00,80,418,62,2,3476,931
3,1.2,0.8,2.0,true,krys,7,true,1.00,28,391,21,1,831,280
3,1.2,0.8,2.0,true,krys,8,true,1.00,406,520,402,12,24785,855
3,1.2,0.8,2.0,true,krys,9,true,1.00,8,391,6,1,413,130
3,1.2,0.8,2.0,true,krys,10,true,1.00,49,428,47,2,3282,653
3,1.2,0.8,2.0,true,krys,11,true,1.00,25,414,22,1,1604,405
3,1.2,0.8,2.0,true,krys,12,true,1.00,7865,419,7862,238,631175,2572
3,1.2,0.8,2.0,true,krys,13,true,1.00,24,437,22,1,1774,773
3,1.2,0.8,2.0,true,krys,14,true,1.00,18,399,16,1,1124,420
3,1.2,0.8,2.0,true,krys,15,true,1.00,21,403,19,1,1697,416
3,1.2,0.8,2.0,true,krys,16,true,1.00,47,447,28,1,1996,749
3,1.2,0.8,2.0,true,krys,17,true,1.00,8922,495,8917,270,754332,1534
3,1.2,0.8,2.0,true,krys,18,true,1.00,28,399,18,1,977,186
3,1.2,0.8,2.0,true,krys,19,true,1.00,825,385,823,25,65446,2012
3,1.2,0.8,2.0,true,krys,20,true,1.00,31,475,29,1,2400,513
3,1.2,0.8,2.0,true,krys,21,true,1.00,14,378,14,1,965,201
3,1.2,0.8,2.0,true,krys,22,true,1.00,6,374,4,1,350,76
3,1.2,0.8,2.0,true,krys,23,true,1.00,87,451,85,3,6817,1479
3,1.2,0.8,2.0,true,krys,24,true,1.00,8677,474,8676,264,707633,2217
3,1.2,0.8,2.0,true,krys,25,true,1.00,29,419,27,1,2128,1173
3,1.2,0.8,2.0,true,krys,26,true,1.00,8,349,6,1,460,221
3,1.2,0.8,2.0,true,krys,27,true,1.00,6290,406,6289,191,525404,1254
3,1.2,0.8,2.0,true,krys,28,true,1.00,3137,500,3136,95,252506,1083
