searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,1.2,0.8,2.0,true,215,215,1.0000,1331.4465,1327.4465,467.2558,110581.2093,629.0372,1.0000
3,1.2,1.0,2.0,true,215,215,1.0000,1331.3628,1329.3860,463.5814,114385.3628,627.5163,1.0000
3,1.4,0.8,2.0,true,215,215,1.0000,1170.2558,1168.1488,479.2837,102987.4744,560.1488,1.0000
3,1.4,1.0,2.0,true,215,215,1.0000,1094.5023,1092.4744,478.7116,96024.8279,552.9349,1.0000
3,1.6,0.8,2.0,true,215,214,0.9953,1019.0093,1016.6140,481.0977,90494.3209,476.8047,0.9999
3,1.6,1.0,2.0,true,215,214,0.9953,1048.8140,1046.3907,482.7860,93234.1442,456.7349,0.9999
