searchSteps,startWeight,endWeight,exponent,dynamicEnabled,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
3,1.2,0.6,3.0,true,original,1,true,1.00,279,422,230,7,1748,73
3,1.2,0.6,3.0,true,original,2,true,1.00,601,399,582,16,4441,287
3,1.2,0.6,3.0,true,original,3,true,1.00,20,269,8,1,206,39
3,1.2,0.6,3.0,true,original,4,true,1.00,712,466,700,20,37729,1093
3,1.2,0.6,3.0,true,original,5,true,1.00,863,494,860,23,16129,739
3,1.2,0.6,3.0,true,original,6,true,1.00,2647,291,2633,77,312161,3102
3,1.2,0.6,3.0,true,original,7,true,1.00,27,479,25,1,1669,350
3,1.2,0.6,3.0,true,original,8,true,1.00,18,329,17,1,437,78
3,1.2,0.6,3.0,true,original,9,true,1.00,270,402,257,7,4429,159
3,1.2,0.6,3.0,true,original,10,true,1.00,29,275,7,1,207,33
3,1.2,0.6,3.0,true,original,11,true,1.00,186,477,171,5,2943,118
3,1.2,0.6,3.0,true,original,12,true,1.00,331,626,306,9,14670,867
3,1.2,0.6,3.0,true,original,13,true,1.00,9,299,1,1,128,9
3,1.2,0.6,3.0,true,original,14,true,1.00,14,352,5,1,375,54
3,1.2,0.6,3.0,true,original,15,true,1.00,606,843,544,15,24288,458
3,1.2,0.6,3.0,true,krys,1,true,1.00,7462,575,7460,226,625456,2084
3,1.2,0.6,3.0,true,krys,2,true,1.00,142,430,127,4,5926,547
3,1.2,0.6,3.0,true,krys,3,true,1.00,8972,470,8968,280,728678,2209
3,1.2,0.6,3.0,true,krys,4,true,1.00,3925,517,3923,121,300231,651
3,1.2,0.6,3.0,true,krys,5,true,1.00,24,336,5,1,293,59
3,1.2,0.6,3.0,true,krys,6,true,1.00,157,423,131,4,7017,881
3,1.2,0.6,3.0,true,krys,7,true,1.00,27,394,22,1,929,386
3,1.2,0.6,3.0,true,krys,8,true,1.00,412,520,395,12,28698,895
3,1.2,0.6,3.0,true,krys,9,true,1.00,16,389,14,1,411,125
3,1.2,0.6,3.0,true,krys,10,true,1.00,66,443,64,2,2496,549
3,1.2,0.6,3.0,true,krys,11,true,1.00,58,387,56,2,2207,386
3,1.2,0.6,3.0,true,krys,12,true,1.00,8518,411,8517,258,683578,2623
3,1.2,0.6,3.0,true,krys,13,true,1.00,24,431,21,1,1659,669
3,1.2,0.6,3.0,true,krys,14,true,1.00,37,395,16,1,1120,419
3,1.2,0.6,3.0,true,krys,15,true,1.00,57,403,55,2,3495,401
3,1.2,0.6,3.0,true,krys,16,true,1.00,242,463,240,7,16552,1242
3,1.2,0.6,3.0,true,krys,17,true,1.00,8907,482,8906,270,763431,2139
3,1.2,0.6,3.0,true,krys,18,true,1.00,94,435,92,3,4111,463
3,1.2,0.6,3.0,true,krys,19,true,1.00,1420,403,1418,43,117314,1827
3,1.2,0.6,3.0,true,krys,20,true,1.00,31,475,30,1,2418,520
3,1.2,0.6,3.0,true,krys,21,true,1.00,13,414,11,1,891,240
3,1.2,0.6,3.0,true,krys,22,true,1.00,6,374,5,1,375,75
3,1.2,0.6,3.0,true,krys,23,true,1.00,1088,466,1086,33,87801,1505
3,1.2,0.6,3.0,true,krys,24,true,1.00,7882,465,7876,240,639981,1613
3,1.2,0.6,3.0,true,krys,25,true,1.00,28,410,27,1,2146,1141
3,1.2,0.6,3.0,true,krys,26,true,1.00,7,349,6,1,466,221
3,1.2,0.6,3.0,true,krys,27,true,1.00,5795,386,5793,176,481675,1248
3,1.2,0.6,3.0,true,krys,28,true,1.00,3498,449,3495,106,277297,1190
3,1.2,0.6,3.0,true,krys,29,true,1.00,6189,480,6188,188,530609,1519
3,1.2,0.6,3.0,true,krys,30,true,1.00,9198,477,9197,279,746372,2217
3,1.2,0.6,3.0,true,krys,31,true,1.00,21,410,19,1,1479,535
3,1.2,0.6,3.0,true,krys,32,true,1.00,13,442,11,1,872,195
3,1.2,0.6,3.0,true,krys,33,true,1.00,19,417,17,1,1185,194
3,1.2,0.6,3.0,true,krys,34,true,1.00,346,453,344,11,29998,778
3,1.2,0.6,3.0,true,krys,35,true,1.00,3429,401,3428,104,300389,2545
3,1.2,0.6,3.0,true,krys,36,true,1.00,14317,529,14317,436,1191785,2113
3,1.2,0.6,3.0,true,krys,37,true,1.00,2770,466,2769,84,251874,2570
3,1.2,0.6,3.0,true,krys,38,true,1.00,3830,441,3828,116,346712,2577
3,1.2,0.6,3.0,true,krys,39,true,1.00,3563,440,3561,108,294916,2211
3,1.2,0.6,3.0,true,krys,40,true,1.00,22,434,21,1,1683,446
3,1.2,0.6,3.0,true,krys,41,true,1.00,8478,421,8453,257,719326,556
3,1.2,0.6,3.0,true,krys,42,true,1.00,63,410,61,2,4773,602
3,1.2,0.6,3.0,true,krys,43,true,1.00,57,389,55,2,2738,380
3,1.2,0.6,3.0,true,krys,44,true,1.00,65,442,63,2,5267,1475
3,1.2,0.6,3.0,true,krys,45,true,1.00,20,420,18,1,1305,448
3,1.2,0.6,3.0,true,krys,46,true,1.00,687,460,686,21,56355,797
3,1.2,0.6,3.0,true,krys,47,true,1.00,17,459,15,1,1219,249
3,1.2,0.6,3.0,true,krys,48,true,1.00,11,363,9,1,690,103
3,1.2,0.6,3.0,true,krys,49,true,1.00,22,437,20,1,1419,379
3,1.2,0.6,3.0,true,krys,50,true,1.00,7834,423,7833,238,667177,722
3,1.2,0.6,3.0,true,krys,51,true,1.00,45,424,21,1,1731,1181
3,1.2,0.6,3.0,true,krys,52,true,1.00,958,502,956,29,71349,1450
3,1.2,0.6,3.0,true,krys,53,true,1.00,7270,482,7269,221,586677,1124
3,1.2,0.6,3.0,true,krys,54,true,1.00,324,478,322,10,28367,1498
3,1.2,0.6,3.0,true,krys,55,true,1.00,67,461,65,2,5571,1075
3,1.2,0.6,3.0,true,krys,56,true,1.00,13,345,10,1,749,308
3,1.2,0.6,3.0,true,krys,57,true,1.00,10,354,8,1,520,76
3,1.2,0.6,3.0,true,krys,58,true,1.00,7838,460,7836,243,649620,2398
3,1.2,0.6,3.0,true,krys,59,true,1.00,198,475,195,6,14192,740
3,1.2,0.6,3.0,true,krys,60,true,1.00,6509,418,6485,197,531370,1237
3,1.2,0.6,3.0,true,krys,61,true,1.00,34,449,32,1,2631,456
3,1.2,0.6,3.0,true,krys,62,true,1.00,2903,459,2899,88,215893,2342
3,1.2,0.6,3.0,true,krys,63,true,1.00,13520,571,13518,424,1118882,2262
3,1.2,0.6,3.0,true,krys,64,true,1.00,1374,513,1372,42,127294,1310
3,1.2,0.6,3.0,true,krys,65,true,1.00,8640,437,8639,265,693363,2164
3,1.2,0.6,3.0,true,krys,66,true,1.00,5378,496,5376,163,448706,1051
3,1.2,0.6,3.0,true,krys,67,true,1.00,10234,530,10233,310,898377,2426
3,1.2,0.6,3.0,true,krys,68,true,1.00,6,378,4,1,286,83
3,1.2,0.6,3.0,true,krys,69,true,1.00,3265,537,3263,99,280010,1117
3,1.2,0.6,3.0,true,krys,70,true,1.00,12270,540,12269,372,1026383,2729
3,1.2,0.6,3.0,true,krys,71,true,1.00,26,412,25,1,1003,412
3,1.2,0.6,3.0,true,krys,72,true,1.00,30,394,28,1,1462,817
3,1.2,0.6,3.0,true,krys,73,true,1.00,1709,411,1707,52,137561,1585
3,1.2,0.6,3.0,true,krys,74,true,1.00,199,382,197,6,14162,1746
3,1.2,0.6,3.0,true,krys,75,true,1.00,192,435,190,6,14135,663
3,1.2,0.6,3.0,true,krys,76,true,1.00,4223,381,4222,128,363167,2022
3,1.2,0.6,3.0,true,krys,77,true,1.00,11,380,9,1,736,155
3,1.2,0.6,3.0,true,krys,78,true,1.00,3794,424,3793,118,335569,2370
3,1.2,0.6,3.0,true,krys,79,true,1.00,17,379,15,1,1142,885
3,1.2,0.6,3.0,true,krys,80,true,1.00,61,465,59,2,4410,387
3,1.2,0.6,3.0,true,krys,81,true,1.00,16,382,14,1,1093,326
3,1.2,0.6,3.0,true,krys,82,true,1.00,21,400,19,1,1452,802
3,1.2,0.6,3.0,true,krys,83,true,1.00,8890,418,8890,270,749247,1117
3,1.2,0.6,3.0,true,krys,84,true,1.00,14,371,12,1,902,200
3,1.2,0.6,3.0,true,krys,85,true,1.00,28,473,26,1,2151,326
3,1.2,0.6,3.0,true,krys,86,true,1.00,10278,511,10275,312,876789,2470
3,1.2,0.6,3.0,true,krys,87,true,1.00,17,436,15,1,1098,523
3,1.2,0.6,3.0,true,krys,88,true,1.00,25,469,23,1,1977,1013
3,1.2,0.6,3.0,true,krys,89,true,1.00,16,375,14,1,1106,189
3,1.2,0.6,3.0,true,krys,90,true,1.00,290,404,288,9,27112,1140
3,1.2,0.6,3.0,true,krys,91,true,1.00,17,431,14,1,970,229
3,1.2,0.6,3.0,true,krys,92,true,1.00,11356,451,11355,349,894920,2290
3,1.2,0.6,3.0,true,krys,93,true,1.00,19,412,17,1,1368,913
