searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,1.2,0.6,0.5,true,215,213,0.9907,3836.9302,3830.7721,457.5488,111471.9628,468.3488,0.9986
3,1.2,0.6,1.0,true,215,213,0.9907,3207.0000,3202.9256,462.2512,95376.0326,399.1814,0.9986
3,1.2,0.8,0.5,true,215,214,0.9953,3381.7488,3377.6558,458.5581,99511.8233,414.2651,0.9987
3,1.2,0.8,1.0,true,215,213,0.9907,3063.8419,3059.9814,463.8186,91308.5023,385.0000,0.9986
3,1.4,0.6,0.5,true,215,215,1.0000,3325.3767,3321.4605,464.8698,98620.6000,407.3953,1.0000
3,1.4,0.6,1.0,true,215,213,0.9907,2716.0698,2712.0326,471.7302,81607.2605,344.2326,0.9986
3,1.4,0.8,0.5,true,215,213,0.9907,2883.8186,2879.9395,467.2372,87579.2279,377.0047,0.9986
3,1.4,0.8,1.0,true,215,213,0.9907,2549.6047,2545.5256,474.1023,77358.1349,323.0791,0.9986
