searchSteps,timeToFinishWeight,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
1,0.2,45,20,0.4444444444444444,15047.866666666667,15033.333333333334,477.6,1889096.8,2280.266666666667,0.7588888888888891
1,0.4,45,20,0.4444444444444444,13673.68888888889,13672.044444444444,438.73333333333335,1432501.5111111111,2059.866666666667,0.7633333333333334
1,0.6,45,23,0.5111111111111111,9081.022222222222,9080.466666666667,301.55555555555554,947779.9777777778,2153.088888888889,0.8242222222222223
1,0.8,45,30,0.6666666666666666,15500.133333333333,15499.533333333333,488.9555555555556,1600094.288888889,2304.9555555555557,0.8973333333333332
1,1.0,45,37,0.8222222222222222,9775.222222222223,9773.6,341.3777777777778,978752.6888888889,2812.6,0.9577777777777778
1,1.2,45,35,0.7777777777777778,6920.6,6919.2444444444445,325.2888888888889,709747.3777777777,2301.0666666666666,0.9402222222222223
1,1.4,45,34,0.7555555555555555,7962.666666666667,7961.2444444444445,361.5111111111111,836522.5555555555,2086.733333333333,0.918
1,1.6,45,36,0.8,6789.355555555556,6787.644444444444,358.8666666666667,714536.8,1904.111111111111,0.9326666666666666
1,1.8,45,39,0.8666666666666667,6583.733333333334,6580.7555555555555,358.5111111111111,711664.3555555556,1899.4,0.9531111111111111
1,2.0,45,37,0.8222222222222222,7236.422222222222,7233.955555555555,395.8,782019.1777777778,1831.4,0.9417777777777777
2,0.2,45,32,0.7111111111111111,10469.888888888889,10468.533333333333,340.8222222222222,579227.3777777777,1320.111111111111,0.8991111111111111
2,0.4,45,39,0.8666666666666667,10362.08888888889,10361.622222222222,349.8888888888889,575924.2888888889,1449.6222222222223,0.9631111111111111
2,0.6,45,42,0.9333333333333333,4475.2,4473.488888888889,310.97777777777776,240130.97777777776,1119.6,0.9897777777777779
2,0.8,45,43,0.9555555555555556,4017.6,4014.9777777777776,351.77777777777777,218784.0888888889,874.2888888888889,0.9940000000000001
2,1.0,45,41,0.9111111111111111,3666.0666666666666,3663.266666666667,379.0444444444444,212307.42222222223,746.7777777777778,0.9760000000000001
2,1.2,45,40,0.8888888888888888,3625.5777777777776,3622.4666666666667,398.8666666666667,207331.51111111112,590.9777777777778,0.9715555555555555
2,1.4,45,40,0.8888888888888888,3380.7555555555555,3377.688888888889,411.02222222222224,198400.57777777777,602.9555555555555,0.9715555555555555
2,1.6,45,39,0.8666666666666667,3673.511111111111,3670.4222222222224,421.35555555555555,214433.17777777778,600.0,0.967111111111111
2,1.8,45,38,0.8444444444444444,4525.133333333333,4522.155555555555,443.15555555555557,273905.8,649.6,0.9533333333333335
2,2.0,45,37,0.8222222222222222,4821.066666666667,4817.644444444444,463.3333333333333,288753.6,516.9111111111112,0.9373333333333335
3,0.2,45,41,0.9111111111111111,10331.6,10330.733333333334,356.06666666666666,388113.3777777778,1046.2,0.9828888888888889
3,0.4,45,42,0.9333333333333333,6566.2444444444445,6564.688888888889,365.0,244701.46666666667,841.4444444444445,0.9862222222222221
3,0.6,45,44,0.9777777777777777,3222.4222222222224,3219.7555555555555,381.02222222222224,124264.42222222222,519.3555555555556,0.9933333333333334
3,0.8,45,43,0.9555555555555556,2550.2,2546.9333333333334,410.1777777777778,98120.28888888888,319.8888888888889,0.992
3,1.0,45,44,0.9777777777777777,2433.0222222222224,2429.688888888889,415.55555555555554,98030.77777777778,404.1333333333333,0.9986666666666666
3,1.2,45,42,0.9333333333333333,3395.1555555555556,3391.777777777778,460.8,136932.84444444443,362.64444444444445,0.9893333333333333
3,1.4,45,42,0.9333333333333333,3554.3555555555554,3550.6666666666665,469.35555555555555,143017.42222222223,378.77777777777777,0.989111111111111
3,1.6,45,42,0.9333333333333333,3602.6222222222223,3599.0444444444443,481.1777777777778,148367.24444444446,379.97777777777776,0.9893333333333333
3,1.8,45,42,0.9333333333333333,3575.688888888889,3572.177777777778,487.0444444444444,142836.26666666666,370.7111111111111,0.989111111111111
3,2.0,45,44,0.9777777777777777,2493.0444444444443,2489.5333333333333,466.44444444444446,104467.64444444445,387.15555555555557,0.9984444444444445
4,0.2,45,43,0.9555555555555556,10141.31111111111,10140.622222222222,376.6,289115.13333333336,790.6222222222223,0.9928888888888889
4,0.4,45,43,0.9555555555555556,3983.488888888889,3980.8888888888887,395.31111111111113,115522.2,489.64444444444445,0.9928888888888889
4,0.6,45,43,0.9555555555555556,2807.733333333333,2804.5555555555557,436.5777777777778,83933.11111111111,312.5111111111111,0.9928888888888889
4,0.8,45,43,0.9555555555555556,1915.0444444444445,1911.3777777777777,455.4888888888889,62770.48888888889,218.0,0.9928888888888889
4,1.0,45,43,0.9555555555555556,2123.222222222222,2119.6666666666665,462.35555555555555,68254.48888888888,226.13333333333333,0.9928888888888889
4,1.2,45,43,0.9555555555555556,2282.688888888889,2278.8888888888887,477.9555555555556,70002.8,243.0222222222222,0.9928888888888889
4,1.4,45,44,0.9777777777777777,1751.4888888888888,1747.7111111111112,472.15555555555557,53886.555555555555,251.0222222222222,0.9995555555555556
4,1.6,45,44,0.9777777777777777,1368.1333333333334,1364.088888888889,472.1333333333333,44227.35555555556,250.26666666666668,0.9995555555555556
4,1.8,45,44,0.9777777777777777,1460.3777777777777,1456.0666666666666,482.6,48439.84444444445,234.6888888888889,0.9995555555555556
4,2.0,45,44,0.9777777777777777,1521.4222222222222,1517.4222222222222,491.73333333333335,47873.42222222222,232.22222222222223,0.9995555555555556
