searchSteps,timeToFinishWeight,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
1,0.6,original,3,false,0.53,3598,122,3598,122,389462,626
1,0.6,original,4,true,1.00,18743,583,18743,568,1934912,3227
1,0.6,original,5,true,1.00,11336,367,11336,344,1121257,2640
1,0.6,original,6,false,0.39,2762,96,2762,96,292701,871
1,0.6,original,7,true,1.00,11424,361,11423,346,1157235,1683
1,0.6,original,8,true,1.00,10133,329,10132,307,991989,2050
1,0.6,original,9,true,1.00,9466,301,9465,286,908313,1705
1,0.6,original,10,false,0.52,3506,119,3504,119,364353,570
1,0.6,original,11,true,1.00,10036,320,10036,304,1055219,1774
1,0.6,original,12,true,1.00,13713,429,13713,416,1114213,3106
1,0.6,original,13,false,0.17,1263,49,1263,49,143296,574
1,0.6,original,14,true,1.00,8050,271,8049,244,839562,2207
1,0.6,original,15,false,0.60,12815,399,12815,399,1277707,1905
1,0.6,krys,1,false,0.79,6823,225,6823,225,703317,3000
1,0.6,krys,2,false,0.66,5654,184,5654,184,557644,3030
1,0.6,krys,3,false,0.80,9411,299,9410,299,1002409,1785
1,0.6,krys,4,false,0.65,5880,184,5879,184,592074,2083
1,0.6,krys,5,false,0.88,6708,220,6708,220,708112,2472
1,0.6,krys,6,false,0.59,32136,999,32135,999,3679534,2392
1,0.6,krys,7,true,1.00,7888,260,7888,239,841173,2685
1,0.6,krys,8,false,0.85,6856,219,6856,219,681060,2321
1,0.6,krys,9,true,1.00,8663,281,8662,263,944162,3377
1,0.6,krys,10,false,0.85,7952,256,7952,256,848065,2620
1,0.6,krys,11,true,1.00,9013,289,9013,273,895891,2145
1,0.6,krys,12,false,0.48,16898,999,16889,999,1914016,1703
1,0.6,krys,13,false,0.56,4130,140,4130,140,406921,1327
1,0.6,krys,14,false,0.66,5169,171,5169,171,539305,2332
1,0.6,krys,15,false,0.80,7438,232,7438,232,818789,2475
1,0.6,patternCount,1,false,0.70,7411,236,7410,236,790450,2886
1,0.6,patternCount,2,true,1.00,9698,314,9698,294,1023985,1515
1,0.6,patternCount,3,false,0.95,9496,302,9496,302,976572,1969
1,0.6,patternCount,4,true,1.00,10560,339,10560,320,1123727,1757
1,0.6,patternCount,5,true,1.00,9875,312,9875,299,1053397,2984
1,0.6,patternCount,6,true,1.00,9800,312,9799,297,1047525,2496
1,0.6,patternCount,7,true,1.00,9749,314,9749,296,1036955,3078
1,0.6,patternCount,8,true,1.00,9903,319,9903,300,1057053,2070
1,0.6,patternCount,9,true,1.00,10066,318,10066,305,1065116,3317
1,0.6,patternCount,10,true,1.00,10033,319,10033,304,1077395,1832
1,0.6,patternCount,11,false,0.93,10144,323,10144,323,1061774,3392
1,0.6,patternCount,12,false,0.33,2996,105,2996,105,308549,651
1,0.6,patternCount,13,false,0.40,3423,124,3423,124,349833,670
1,0.6,patternCount,14,true,1.00,10066,324,10063,305,1053310,2821
1,0.6,patternCount,15,true,1.00,10490,334,10490,318,1121731,2899
1,0.8,original,1,true,1.00,10166,322,10166,308,502085,1333
1,0.8,original,2,true,1.00,7483,253,7483,227,689320,2649
1,0.8,original,3,false,0.54,3660,124,3660,124,391396,487
1,0.8,original,4,false,0.95,219564,6666,219563,6666,23180865,2563
1,0.8,original,5,true,1.00,10865,353,10864,329,1049133,2670
1,0.8,original,6,false,0.41,3109,108,3109,108,317878,3066
1,0.8,original,7,true,1.00,10855,348,10855,329,1078189,1712
1,0.8,original,8,true,1.00,10016,330,10016,303,992307,3312
1,0.8,original,9,true,1.00,9549,309,9549,289,895662,2084
1,0.8,original,10,false,0.53,3598,122,3598,122,388414,437
1,0.8,original,11,true,1.00,9709,314,9707,294,982383,2467
1,0.8,original,12,true,1.00,12737,399,12735,387,1061291,2552
1,0.8,original,13,true,1.00,7581,251,7581,230,723011,2947
1,0.8,original,14,true,1.00,8509,282,8508,258,876710,1785
1,0.8,original,15,true,1.00,20331,635,20331,616,2002223,2754
1,0.8,krys,1,false,0.79,6822,225,6822,225,707233,2574
1,0.8,krys,2,false,0.79,32531,999,32530,999,3637424,2048
1,0.8,krys,3,false,0.70,32357,999,32356,999,3510978,2468
1,0.8,krys,4,false,0.68,6336,208,6336,208,646505,3045
1,0.8,krys,5,true,1.00,7225,245,7224,219,758431,2623
1,0.8,krys,6,false,0.59,32189,999,32189,999,3705026,2935
1,0.8,krys,7,true,1.00,7838,260,7837,238,812589,2524
1,0.8,krys,8,true,1.00,7895,263,7895,241,791295,3550
1,0.8,krys,9,true,1.00,8104,272,8103,246,893996,2598
1,0.8,krys,10,false,0.85,7923,257,7923,257,827909,2306
1,0.8,krys,11,true,1.00,9044,296,9044,274,903510,2623
1,0.8,krys,12,true,1.00,9260,306,9259,283,943178,2732
1,0.8,krys,13,false,0.56,4136,140,4135,140,400093,1950
1,0.8,krys,14,false,0.79,32526,999,32525,999,3644826,2481
1,0.8,krys,15,false,0.80,6898,218,6898,218,762737,2360
1,0.8,patternCount,1,false,0.92,9336,296,9336,296,1019954,2907
1,0.8,patternCount,2,true,1.00,9400,304,9400,285,971090,1082
1,0.8,patternCount,3,true,1.00,9775,322,9774,296,966067,2717
1,0.8,patternCount,4,true,1.00,9925,316,9925,301,1047212,1730
1,0.8,patternCount,5,true,1.00,9774,310,9774,296,1014357,2623
1,0.8,patternCount,6,true,1.00,9539,306,9539,289,841639,1563
1,0.8,patternCount,7,true,1.00,9469,310,9468,287,747600,1622
1,0.8,patternCount,8,true,1.00,9150,305,9150,277,938803,1382
1,0.8,patternCount,9,true,1.00,9577,312,9576,290,985288,2998
1,0.8,patternCount,10,true,1.00,9739,319,9737,295,1016000,2017
1,0.8,patternCount,11,true,1.00,9933,324,9931,305,999243,3046
1,0.8,patternCount,12,false,0.48,4245,149,4245,149,417839,1672
1,0.8,patternCount,13,true,1.00,9383,306,9380,284,942046,1986
1,0.8,patternCount,14,true,1.00,9574,308,9573,290,989382,2688
1,0.8,patternCount,15,true,1.00,9871,314,9870,299,1031126,2055
1,1.0,original,1,true,1.00,8958,303,8958,271,879356,2999
1,1.0,original,2,true,1.00,6293,256,6292,190,570770,2480
1,1.0,original,3,true,1.00,755,223,753,23,77860,201
1,1.0,original,4,true,1.00,14048,450,14047,425,1379269,2953
