searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,0.6,1.0,0.5,True,215,205,0.9534883720930233,8178.53023255814,8174.218604651162,414.72093023255815,267047.91162790696,926.306976744186,0.9792558139534884
3,0.6,1.2,0.5,True,215,162,0.7534883720930232,9261.539534883721,9260.497674418604,385.04186046511626,297820.47441860463,932.1627906976744,0.8357674418604651
3,0.8,1.0,0.5,True,215,212,0.986046511627907,5156.976744186047,5154.423255813954,428.86511627906975,158920.39069767442,764.3860465116279,0.9968372093023256
3,0.8,1.2,0.5,True,215,210,0.9767441860465116,6595.372093023256,6593.26511627907,428.66511627906976,208626.12093023254,834.2744186046511,0.9926976744186047
3,1.2,0.6,0.5,True,215,213,0.9906976744186047,3836.9302325581393,3830.772093023256,457.54883720930235,111471.96279069767,468.3488372093023,0.9985581395348837
3,1.2,0.8,0.5,True,215,214,0.9953488372093023,3381.748837209302,3377.655813953488,458.5581395348837,99511.82325581396,414.2651162790698,0.9986511627906975
3,1.4,0.6,0.5,True,215,215,1.0,3325.3767441860464,3321.460465116279,464.86976744186046,98620.6,407.3953488372093,1.0
3,1.4,0.8,0.5,True,215,213,0.9906976744186047,2883.818604651163,2879.939534883721,467.2372093023256,87579.22790697674,377.0046511627907,0.9985581395348837
3,0.7,1.3,0.6,True,215,209,0.9720930232558139,8211.53488372093,8207.227906976745,412.1953488372093,284152.0046511628,966.8883720930232,0.9894418604651163
3,0.7,1.5,0.6,True,215,199,0.9255813953488372,9670.73488372093,9669.520930232558,420.2279069767442,337250.1674418605,1008.9348837209302,0.9572093023255813
3,0.9,1.3,0.6,True,215,212,0.986046511627907,4627.316279069767,4624.706976744186,430.3627906976744,153983.87441860465,781.8697674418605,0.9958604651162791
3,0.9,1.5,0.6,True,215,208,0.9674418604651163,6737.990697674419,6735.827906976744,430.8046511627907,231895.81860465117,893.2651162790697,0.9922325581395348
3,1.1,0.5,0.6,True,215,214,0.9953488372093023,3984.4511627906977,3978.1627906976746,453.57209302325583,124686.24186046512,521.0976744186047,0.9986511627906975
3,1.1,0.7,0.6,True,215,214,0.9953488372093023,3594.646511627907,3591.106976744186,456.706976744186,115376.03255813953,489.48837209302326,0.9986511627906975
3,1.3,0.5,0.6,True,215,215,1.0,3476.297674418605,3472.506976744186,463.92558139534884,110373.19534883721,452.66511627906976,1.0
3,1.3,0.7,0.6,True,215,214,0.9953488372093023,3009.9023255813954,3006.2093023255816,463.13488372093025,96070.19069767442,401.54418604651164,0.9986511627906975
3,0.6,1.0,1.0,True,215,212,0.986046511627907,7585.958139534884,7584.246511627907,401.6232558139535,233368.54418604652,863.2976744186046,0.9963255813953488
3,0.6,1.2,1.0,True,215,207,0.9627906976744186,8625.004651162792,8623.609302325582,406.1767441860465,271837.91162790696,858.0232558139535,0.9893953488372093
3,0.8,1.0,1.0,True,215,213,0.9906976744186047,5290.762790697674,5288.153488372093,427.6744186046512,162348.88837209303,763.5116279069767,0.9968372093023256
3,0.8,1.2,1.0,True,215,211,0.9813953488372092,5601.325581395349,5598.930232558139,422.9441860465116,173002.82325581394,808.4604651162791,0.994093023255814
3,1.2,0.6,1.0,True,215,213,0.9906976744186047,3207.0,3202.9255813953487,462.25116279069766,95376.03255813953,399.1813953488372,0.9985581395348837
3,1.2,0.8,1.0,True,215,213,0.9906976744186047,3063.8418604651165,3059.9813953488374,463.8186046511628,91308.5023255814,385.0,0.9985581395348837
3,1.4,0.6,1.0,True,215,213,0.9906976744186047,2716.0697674418607,2712.032558139535,471.73023255813956,81607.26046511628,344.2325581395349,0.9985581395348837
3,1.4,0.8,1.0,True,215,213,0.9906976744186047,2549.6046511627906,2545.525581395349,474.10232558139535,77358.13488372094,323.07906976744187,0.9985581395348837
3,0.7,1.3,1.4,True,215,211,0.9813953488372092,6920.46976744186,6918.418604651163,409.73023255813956,226200.72093023255,924.6651162790698,0.9933953488372093
3,0.7,1.5,1.4,True,215,210,0.9767441860465116,7772.390697674418,7770.7441860465115,407.80930232558137,260439.41395348837,936.8790697674418,0.9915348837209302
3,0.9,1.3,1.4,True,215,213,0.9906976744186047,4592.4,4589.674418604651,431.89302325581394,152140.4511627907,770.6744186046511,0.9977209302325581
3,0.9,1.5,1.4,True,215,213,0.9906976744186047,4935.906976744186,4933.455813953488,424.30232558139534,163225.90697674418,807.8139534883721,0.9982325581395349
3,1.1,0.5,1.4,True,215,214,0.9953488372093023,3107.5488372093023,3103.702325581395,459.84186046511627,100494.86976744187,445.2372093023256,0.9986511627906975
3,1.1,0.7,1.4,True,215,213,0.9906976744186047,3110.8976744186048,3106.8418604651165,458.10697674418606,98811.26976744186,432.8790697674419,0.9985581395348837
3,1.3,0.5,1.4,True,215,215,1.0,2666.8790697674417,2662.6279069767443,471.6046511627907,85224.09302325582,380.74418604651163,1.0
3,1.3,0.7,1.4,True,215,214,0.9953488372093023,2575.6976744186045,2571.7069767441862,470.42325581395346,83448.66976744185,354.1813953488372,0.9986511627906975
3,1.0,1.2,1.5,True,215,214,0.9953488372093023,3586.4232558139533,3580.153488372093,442.2,119117.30232558139,612.7302325581395,0.9986511627906975
3,1.0,1.4,1.5,True,215,213,0.9906976744186047,3800.7767441860465,3797.4837209302327,442.4046511627907,126693.53488372093,646.4232558139535,0.9972558139534884
3,1.2,0.6,1.5,True,215,213,0.9906976744186047,2737.5627906976742,2730.6697674418606,467.92558139534884,93081.7023255814,410.6046511627907,0.9985581395348837
3,1.2,0.8,1.5,True,215,213,0.9906976744186047,2823.758139534884,2820.032558139535,466.57674418604654,91027.4465116279,398.7906976744186,0.9985581395348837
3,1.2,1.2,1.5,True,215,213,0.9906976744186047,2737.232558139535,2733.474418604651,465.7767441860465,92206.82325581396,433.71627906976744,0.9982325581395349
3,1.2,1.4,1.5,True,215,214,0.9953488372093023,2729.9023255813954,2726.297674418605,461.3860465116279,93501.7534883721,475.706976744186,0.9999069767441862
3,1.4,0.6,1.5,True,215,213,0.9906976744186047,2390.6232558139536,2386.758139534884,475.5627906976744,78065.97209302326,341.0604651162791,0.9985581395348837
3,1.4,0.8,1.5,True,215,214,0.9953488372093023,2304.046511627907,2300.013953488372,477.8046511627907,74939.69302325581,336.06511627906974,0.9986511627906975
3,0.9,1.5,1.8,True,215,214,0.9953488372093023,5233.418604651163,5227.311627906976,427.3813953488372,149376.2,695.4837209302326,0.9986511627906975
3,0.9,1.7,1.8,True,215,212,0.986046511627907,5395.251162790698,5392.618604651163,429.5627906976744,166716.17209302326,766.2186046511628,0.9963255813953488
3,1.1,1.5,1.8,True,215,213,0.9906976744186047,3435.6511627906975,3432.306976744186,446.9767441860465,106994.9488372093,533.2186046511628,0.9985581395348837
3,1.1,1.7,1.8,True,215,213,0.9906976744186047,3795.618604651163,3792.3953488372094,444.7627906976744,117562.20465116279,578.0930232558139,0.9972558139534884
