searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,0.6,1.0,0.5,true,215,205,0.9535,8178.5302,8174.2186,414.7209,267047.9116,926.3070,0.9792
3,0.6,1.0,1.0,true,215,212,0.9860,7585.9581,7584.2465,401.6233,233368.5442,863.2977,0.9963
3,0.6,1.2,0.5,true,215,162,0.7535,9261.5395,9260.4977,385.0419,297820.4744,932.1628,0.8359
3,0.6,1.2,1.0,true,215,207,0.9628,8625.0047,8623.6093,406.1767,271837.9116,858.0233,0.9894
3,0.8,1.0,0.5,true,215,212,0.9860,5156.9767,5154.4233,428.8651,158920.3907,764.3860,0.9968
3,0.8,1.0,1.0,true,215,213,0.9907,5290.7628,5288.1535,427.6744,162348.8884,763.5116,0.9968
3,0.8,1.2,0.5,true,215,210,0.9767,6595.3721,6593.2651,428.6651,208626.1209,834.2744,0.9927
3,0.8,1.2,1.0,true,215,211,0.9814,5601.3256,5598.9302,422.9442,173002.8233,808.4605,0.9940
