searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,0.9,1.5,1.8,true,215,214,0.9953,5233.4186,5227.3116,427.3814,149376.2000,695.4837,0.9987
3,0.9,1.5,2.2,true,215,213,0.9907,5129.2233,5126.0884,431.7721,150996.4512,688.7860,0.9978
3,0.9,1.7,1.8,true,215,212,0.9860,5395.2512,5392.6186,429.5628,166716.1721,766.2186,0.9963
3,0.9,1.7,2.2,true,215,211,0.9814,5466.3395,5463.7302,433.2884,169345.8279,735.4605,0.9959
3,1.1,1.5,1.8,true,215,213,0.9907,3435.6512,3432.3070,446.9767,106994.9488,533.2186,0.9986
3,1.1,1.5,2.2,true,215,214,0.9953,3389.2465,3385.8326,448.3488,105462.9674,515.9209,0.9987
3,1.1,1.7,1.8,true,215,213,0.9907,3795.6186,3792.3953,444.7628,117562.2047,578.0930,0.9973
3,1.1,1.7,2.2,true,215,213,0.9907,3633.6744,3630.4000,448.5116,112692.0047,554.2744,0.9973
